iter	Passed	Remaining
0	420	419606
1	771	385090
2	1148	381803
3	1496	372530
4	1829	364114
5	2105	348750
6	2376	337186
7	2642	327714
8	2943	324101
9	3218	318673
10	3493	314061
11	3784	311586
12	4055	307902
13	4336	305405
14	4615	303084
15	4908	301864
16	5188	299995
17	5461	297932
18	5739	296329
19	6020	295007
20	6295	293502
21	6577	292390
22	6852	291097
23	7129	289943
24	7392	288322
25	7677	287596
26	7968	287173
27	8226	285580
28	8499	284576
29	8781	283936
30	9056	283079
31	9329	282204
32	9606	281493
33	9880	280727
34	10158	280093
35	10429	279289
36	10706	278645
37	11013	278809
38	11271	277748
39	11531	276753
40	11748	274806
41	11963	272890
42	12225	272079
43	12441	270318
44	12693	269394
45	12970	268987
46	13231	268290
47	13492	267610
48	13730	266482
49	13935	264766
50	14187	263999
51	14399	262505
52	14640	261587
53	14888	260821
54	15155	260392
55	15407	259720
56	15673	259303
57	15887	258034
58	16143	257472
59	16379	256609
60	16650	256302
61	16902	255719
62	17147	255038
63	17373	254085
64	17646	253833
65	17869	252881
66	18131	252488
67	18349	251493
68	18605	251035
69	18827	250138
70	19086	249743
71	19312	248920
72	19577	248602
73	19855	248467
74	20095	247839
75	20351	247435
76	20590	246818
77	20827	246193
78	21127	246305
79	21387	245960
80	21625	245350
81	21853	244656
82	22173	244979
83	22421	244500
84	22711	244483
85	23030	244770
86	23322	244749
87	23615	244738
88	23890	244543
89	24142	244110
90	24389	243627
91	24712	243898
92	25039	244197
93	25293	243781
94	25675	244590
95	26011	244941
96	26314	244967
97	26624	245050
98	26931	245107
99	27331	245980
100	27639	246021
101	27949	246061
102	28242	245956
103	28552	245993
104	28873	246113
105	29168	246003
106	29447	245763
107	29713	245411
108	30049	245637
109	30315	245276
110	30570	244841
111	30916	245123
112	31249	245295
113	31698	246357
114	32150	247420
115	32431	247154
116	32757	247223
117	33070	247184
118	33382	247144
119	33667	246898
120	34027	247192
121	34318	246978
122	34610	246777
123	34937	246816
124	35217	246524
125	35483	246134
126	35795	246058
127	36072	245744
128	36321	245242
129	36571	244749
130	36830	244318
131	37091	243905
